category,default_width,default_height
aircraft carrier,,1000
airplane,,300
alarm clock,20,20
ambulance,,300
angel,,180
animal migration,,
ant,1,1
anvil,,50
apple,,15
arm,,100
asparagus,,30
axe,,50
backpack,40,
banana,20,20
bandage,6,6
barn,,600
baseball,22,22
baseball bat,120,120
basket,50,100
basketball,50,50
bat,10,10
bathtub,250,150
beach,1000,
bear,220,130
beard,,
bed,100,220
bee,1,1
belt,,
bench,250,150
bicycle,170,110
binoculars,,
bird,15,15
birthday cake,40,
blackberry,2,2
blueberry,2,2
book,15,25
boomerang,40,40
bottlecap,2,2
bowtie,12,5
bracelet,6,6
brain,,
bread,30,15
bridge,,1000
broccoli,,10
broom,,130
bucket,30,40
bulldozer,400,300
bus,800,300
bush,100,70
butterfly,5,5
cactus,20,40
cake,40,
calculator,15,15
calendar,30,30
camel,,200
camera,,15
camouflage,,
campfire,,
candle,4,20
cannon,,
canoe,,
car,300,180
carrot,,
castle,1000,
cat,60,40,
ceiling fan,,
cello,,76
cell phone,,
chair,50,
chandelier,,
church,600,900
circle,,
clarinet,,
clock,30,30
cloud,,200
coffee cup,,
compass,10,10
computer,,40
cookie,8,8
cooler,,
couch,120,
cow,,160
crab,,20
crayon,,10
crocodile,300,
crown,,20
cruise ship,,900
cup,,13
diamond,,
dishwasher,,
diving board,,
dog,,50
dolphin,,
donut,,
door,,
dragon,,
dresser,,
drill,,
drums,,
duck,,30
dumbbell,,
ear,,
elbow,,
elephant,,
envelope,,
eraser,,
eye,,
eyeglasses,,
face,,
fan,,
feather,,
fence,,
finger,,
fire hydrant,,
fireplace,,
firetruck,,
fish,,
flamingo,,
flashlight,,
flip flops,,
floor lamp,,
flower,8,20
flying saucer,,
foot,30,
fork,,
frog,,
frying pan,,
garden,,
garden hose,,
giraffe,,
goatee,,
golf club,,
grapes,,
grass,,
guitar,,
hamburger,,
hammer,,
hand,,
harp,,
hat,,
headphones,,
hedgehog,,
helicopter,400,200
helmet,,
hexagon,,
hockey puck,,
hockey stick,,
horse,,
hospital,,
hot air balloon,,
hot dog,,
hot tub,,
hourglass,,
house,300,
house plant,,
hurricane,,800
ice cream,,
jacket,,
jail,,
kangaroo,,
key,,
keyboard,,
knee,,
knife,,20
ladder,,
lantern,,
laptop,,
leaf,,
leg,,
light bulb,,
lighter,,
lighthouse,,
lightning,,
line,,
lion,,
lipstick,,
lobster,,
lollipop,,
mailbox,,150
map,,
marker,,
matches,,
megaphone,,
mermaid,,
microphone,,
microwave,,
monkey,,
moon,,
mosquito,,
motorbike,,
mountain,,2000
mouse,,
moustache,,
mouth,,
mug,,
mushroom,,
nail,,
necklace,,
nose,,
ocean,2000,
octagon,,
octopus,,
onion,,
oven,,
owl,,
paintbrush,,
paint can,,
palm tree,,400
panda,,
pants,,120
paper clip,,
parachute,,
parrot,,
passport,,
peanut,,
pear,,
peas,,
pencil,,12
penguin,80,30
piano,,
pickup truck,,
picture frame,,
pig,,
pillow,,
pineapple,,
pizza,,
pliers,,
police car,,
pond,300,100
pool,,
popsicle,,
postcard,,
potato,,
power outlet,,
purse,,
rabbit,,
raccoon,,
radio,,
rain,,
rainbow,,
rake,,
remote control,,
rhinoceros,,
rifle,,
river,,
roller coaster,,
rollerskates,,
sailboat,,
sandwich,,
saw,,
saxophone,,
school bus,,
scissors,,
scorpion,,
screwdriver,,
sea turtle,,
see saw,,
shark,,
sheep,,
shoe,,
shorts,,
shovel,,
sink,,
skateboard,,
skull,,
skyscraper,,
sleeping bag,,
smiley face,,
snail,,
snake,,
snorkel,,
snowflake,,
snowman,,
soccer ball,,
sock,,
speedboat,,
spider,,
spoon,,
spreadsheet,,
square,,
squiggle,,
squirrel,,
stairs,,
star,,
steak,,
stereo,,
stethoscope,,
stitches,,
stop sign,,
stove,,
strawberry,,
streetlight,,
string bean,,
submarine,,
suitcase,,
sun,,
swan,,
sweater,,100
swing set,,
sword,,
syringe,,
table,150,120
teapot,,25
teddy-bear,,30
telephone,15,15
television,60,50
tennis racquet,,
tent,,150
The Eiffel Tower,,
The Great Wall of China,,
The Mona Lisa,,
tiger,200,120
toaster,,
toe,,
toilet,,
tooth,,
toothbrush,,
toothpaste,,
tornado,,500
tractor,400,250
traffic light,,
train,,400
tree,100,250
triangle,,
trombone,,
truck,250,600
trumpet,,
t-shirt,100,120
umbrella,,110
underwear,,
van,,
vase,10,25
violin,,58
washing machine,,
watermelon,,
waterslide,,
whale,,
wheel,50,50
windmill,,
wine bottle,15,40
wine glass,15,20
wristwatch,,
yoga,,
zebra,,
zigzag,,
